Date,Location,Latitude,Longitude,RainTomorrow,Forecast_RFC,FC_accuracy_RFC,Test_accuracy_RFC,Forecast_LR,FC_accuracy_LR,Test_accuracy_LR
2017-01-01,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-02,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-03,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-04,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-05,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-06,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-07,Adelaide,-34.929075,138.602578,0,1,0.91,0.86,0.0,0.89,0.85
2017-01-08,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-09,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-10,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-11,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-12,Adelaide,-34.929075,138.602578,1,0,0.91,0.86,0.0,0.89,0.85
2017-01-13,Adelaide,-34.929075,138.602578,1,1,0.91,0.86,0.0,0.89,0.85
2017-01-14,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-15,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-16,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-17,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-18,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-19,Adelaide,-34.929075,138.602578,1,1,0.91,0.86,1.0,0.89,0.85
2017-01-20,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-21,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-22,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-23,Adelaide,-34.929075,138.602578,1,1,0.91,0.86,0.0,0.89,0.85
2017-01-24,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-25,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-26,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-27,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-28,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-29,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-30,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,1.0,0.89,0.85
2017-01-31,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-01,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-02,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-03,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-04,Adelaide,-34.929075,138.602578,1,0,0.91,0.86,0.0,0.89,0.85
2017-02-05,Adelaide,-34.929075,138.602578,1,1,0.91,0.86,1.0,0.89,0.85
2017-02-06,Adelaide,-34.929075,138.602578,0,1,0.91,0.86,1.0,0.89,0.85
2017-02-09,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-10,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-11,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-12,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-13,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-14,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-15,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-16,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-17,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-18,Adelaide,-34.929075,138.602578,1,0,0.91,0.86,0.0,0.89,0.85
2017-02-19,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-20,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-21,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-22,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-23,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-24,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-25,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-26,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-27,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-02-28,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-01,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-02,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-03,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-04,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-05,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-06,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-07,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-08,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-11,Adelaide,-34.929075,138.602578,1,0,0.91,0.86,0.0,0.89,0.85
2017-03-12,Adelaide,-34.929075,138.602578,1,1,0.91,0.86,1.0,0.89,0.85
2017-03-13,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-14,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-15,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-16,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-17,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-18,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-19,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-20,Adelaide,-34.929075,138.602578,1,1,0.91,0.86,1.0,0.89,0.85
2017-03-21,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,1.0,0.89,0.85
2017-03-22,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-23,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-24,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-25,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-26,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-27,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-28,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-29,Adelaide,-34.929075,138.602578,1,1,0.91,0.86,1.0,0.89,0.85
2017-03-30,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-03-31,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-01,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-02,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-03,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-04,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-05,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-06,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-07,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-08,Adelaide,-34.929075,138.602578,1,0,0.91,0.86,0.0,0.89,0.85
2017-04-09,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-10,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-11,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-12,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-13,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-14,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-15,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-16,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-17,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-18,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-19,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-20,Adelaide,-34.929075,138.602578,1,1,0.91,0.86,1.0,0.89,0.85
2017-04-21,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-22,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-23,Adelaide,-34.929075,138.602578,1,0,0.91,0.86,0.0,0.89,0.85
2017-04-24,Adelaide,-34.929075,138.602578,1,1,0.91,0.86,1.0,0.89,0.85
2017-04-25,Adelaide,-34.929075,138.602578,1,0,0.91,0.86,1.0,0.89,0.85
2017-04-26,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-27,Adelaide,-34.929075,138.602578,1,0,0.91,0.86,0.0,0.89,0.85
2017-04-28,Adelaide,-34.929075,138.602578,1,0,0.91,0.86,0.0,0.89,0.85
2017-04-29,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-04-30,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-01,Adelaide,-34.929075,138.602578,1,1,0.91,0.86,0.0,0.89,0.85
2017-05-02,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-03,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-04,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-05,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-06,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-07,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-08,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-09,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-10,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-11,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-12,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-13,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-14,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-15,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-16,Adelaide,-34.929075,138.602578,1,1,0.91,0.86,0.0,0.89,0.85
2017-05-17,Adelaide,-34.929075,138.602578,1,1,0.91,0.86,1.0,0.89,0.85
2017-05-18,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-19,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-20,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-21,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-22,Adelaide,-34.929075,138.602578,1,0,0.91,0.86,0.0,0.89,0.85
2017-05-23,Adelaide,-34.929075,138.602578,1,0,0.91,0.86,0.0,0.89,0.85
2017-05-24,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-25,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-26,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-27,Adelaide,-34.929075,138.602578,1,0,0.91,0.86,1.0,0.89,0.85
2017-05-28,Adelaide,-34.929075,138.602578,1,0,0.91,0.86,1.0,0.89,0.85
2017-05-29,Adelaide,-34.929075,138.602578,1,1,0.91,0.86,1.0,0.89,0.85
2017-05-30,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-05-31,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-01,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-02,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-03,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-04,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-05,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-06,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-07,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-08,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-09,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-10,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-11,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-12,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-13,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-14,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-15,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-16,Adelaide,-34.929075,138.602578,1,0,0.91,0.86,0.0,0.89,0.85
2017-06-17,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-18,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-19,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-20,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-21,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-22,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-23,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-06-24,Adelaide,-34.929075,138.602578,0,0,0.91,0.86,0.0,0.89,0.85
2017-01-01,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-02,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-03,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-04,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-05,Albany,-35.031075,117.89494,0,1,0.82,0.78,,,
2017-01-06,Albany,-35.031075,117.89494,1,1,0.82,0.78,,,
2017-01-07,Albany,-35.031075,117.89494,0,1,0.82,0.78,,,
2017-01-08,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-09,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-10,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-11,Albany,-35.031075,117.89494,0,1,0.82,0.78,,,
2017-01-12,Albany,-35.031075,117.89494,0,1,0.82,0.78,,,
2017-01-13,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-14,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-15,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-16,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-19,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-20,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-21,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-22,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-23,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-24,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-25,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-26,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-27,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-28,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-29,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-30,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-01-31,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-01,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-02,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-03,Albany,-35.031075,117.89494,1,0,0.82,0.78,,,
2017-02-04,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-05,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-09,Albany,-35.031075,117.89494,1,0,0.82,0.78,,,
2017-02-10,Albany,-35.031075,117.89494,1,0,0.82,0.78,,,
2017-02-11,Albany,-35.031075,117.89494,1,0,0.82,0.78,,,
2017-02-12,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-13,Albany,-35.031075,117.89494,1,0,0.82,0.78,,,
2017-02-14,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-15,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-16,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-17,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-18,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-19,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-20,Albany,-35.031075,117.89494,1,0,0.82,0.78,,,
2017-02-21,Albany,-35.031075,117.89494,0,1,0.82,0.78,,,
2017-02-22,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-23,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-24,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-25,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-26,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-27,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-02-28,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-01,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-02,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-03,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-04,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-05,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-06,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-07,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-08,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-09,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-10,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-11,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-12,Albany,-35.031075,117.89494,1,0,0.82,0.78,,,
2017-03-13,Albany,-35.031075,117.89494,1,1,0.82,0.78,,,
2017-03-16,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-17,Albany,-35.031075,117.89494,1,0,0.82,0.78,,,
2017-03-18,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-19,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-20,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-21,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-22,Albany,-35.031075,117.89494,1,1,0.82,0.78,,,
2017-03-23,Albany,-35.031075,117.89494,1,0,0.82,0.78,,,
2017-03-24,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-25,Albany,-35.031075,117.89494,1,0,0.82,0.78,,,
2017-03-26,Albany,-35.031075,117.89494,1,0,0.82,0.78,,,
2017-03-27,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-30,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-03-31,Albany,-35.031075,117.89494,1,0,0.82,0.78,,,
2017-04-01,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-04-02,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-04-03,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-04-04,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-04-05,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-04-06,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-04-07,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-04-08,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-04-09,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-04-10,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
2017-04-15,Albany,-35.031075,117.89494,0,0,0.82,0.78,,,
